rank,prev_rank,name,league,off,def,spi
506,506,Mjallby,Swedish Allsvenskan,0.95,1.96,24.83
507,521,Motherwell,Scottish Premiership,0.73,1.63,24.67
508,509,Indy Eleven,United Soccer League,0.79,1.73,24.63
509,512,Trapani,Italy Serie B,0.89,1.88,24.59
510,514,Cremonese,Italy Serie B,0.7,1.59,24.57
511,516,Salernitana,Italy Serie B,0.8,1.75,24.53
512,532,Sacramento Republic FC,United Soccer League,0.85,1.83,24.34
513,519,Black Aces,South African ABSA Premier League,0.81,1.78,24.28
514,520,Cosenza,Italy Serie B,0.81,1.78,24.24
515,170,Wigan,English League One,0.84,1.83,24.18
516,510,Chambly Thelle FC,French Ligue 2,0.77,1.73,24.14
517,523,Maritzburg Utd,South African ABSA Premier League,0.56,1.39,24.05
518,530,Varbergs BoIS FC,Swedish Allsvenskan,0.89,1.91,24.05
519,442,Portsmouth,English League One,0.76,1.71,24.04
520,545,Oita Trinita,Japanese J League,0.69,1.62,23.98
521,525,Virtus Entella,Italy Serie B,0.76,1.73,23.89
522,535,New Mexico United,United Soccer League,0.94,2.02,23.79
523,502,SK Brann,Norwegian Tippeligaen,0.83,1.84,23.76
524,539,FC Cincinnati,Major League Soccer,0.79,1.79,23.71
525,586,Salford City,English League Two,0.87,1.91,23.67
526,513,Fleetwood Town,English League One,0.81,1.82,23.66
527,543,Sagan Tosu,Japanese J League,0.68,1.63,23.54
528,484,Doncaster Rovers,English League One,0.76,1.77,23.39
529,518,Shimizu S-Pulse,Japanese J League,1.01,2.15,23.29
530,522,Pau,French Ligue 2,0.79,1.81,23.25
531,537,Helsingborgs IF,Swedish Allsvenskan,0.84,1.92,22.99
532,534,Pordenone Calcio,Italy Serie B,0.72,1.75,22.7
533,511,Orange County SC,United Soccer League,0.78,1.85,22.52
534,542,Sarpsborg,Norwegian Tippeligaen,0.71,1.75,22.42
535,536,Bloem Celtic,South African ABSA Premier League,0.8,1.9,22.37
536,538,F.B.C Unione Venezia,Italy Serie B,0.67,1.68,22.33
537,515,Vegalta Sendai,Japanese J League,0.76,1.83,22.3
538,540,US Pescara,Italy Serie B,0.69,1.74,22.08
539,533,St Johnstone,Scottish Premiership,0.64,1.66,22.05
540,528,Dundee Utd,Scottish Premiership,0.75,1.84,22.0
541,544,Panionios,Greek Super League,0.51,1.45,21.84
542,554,Swindon Town,English League One,0.81,1.94,21.79
543,563,Blackpool,English League One,0.72,1.83,21.33
544,548,Volos NFC,Greek Super League,0.65,1.73,21.22
545,546,Austin Bold FC,United Soccer League,0.96,2.24,21.21
546,556,Hamilton Academical,Scottish Premiership,0.72,1.86,21.08
547,541,Vancouver Whitecaps,Major League Soccer,0.85,2.07,21.06
548,553,Miami FC,United Soccer League,0.91,2.17,20.85
549,551,Pisa,Italy Serie B,0.68,1.8,20.84
550,564,Milton Keynes Dons,English League One,0.69,1.83,20.79
551,557,El Paso Locomotive FC,United Soccer League,0.71,1.87,20.68
552,555,Lincoln City,English League One,0.72,1.89,20.58
553,549,Burton Albion,English League One,0.81,2.07,20.24
554,531,Gillingham,English League One,0.63,1.77,20.18
555,559,Juve Stabia,Italy Serie B,0.76,2.03,19.68
556,565,Charleston Battery,United Soccer League,0.65,1.85,19.61
557,561,Perugia,Italy Serie B,0.62,1.8,19.52
558,550,Ross County,Scottish Premiership,0.7,1.94,19.5
559,547,St Mirren,Scottish Premiership,0.58,1.73,19.48
560,562,Ascoli,Italy Serie B,0.73,2.0,19.41
561,571,Shonan Bellmare,Japanese J League,0.7,1.95,19.32
562,552,Birmingham Legion FC,United Soccer League,0.75,2.03,19.28
563,568,Highlands Park FC,South African ABSA Premier League,0.57,1.75,18.95
564,579,Charlotte Independence,United Soccer League,0.8,2.18,18.59
565,558,Saint Louis FC,United Soccer League,0.67,1.99,18.32
566,577,Sandefjord,Norwegian Tippeligaen,0.68,2.0,18.3
567,590,Shrewsbury Town,English League One,0.58,1.82,18.17
568,569,Kalmar FF,Swedish Allsvenskan,0.67,2.01,18.09
569,582,Yokohama FC,Japanese J League,0.72,2.09,17.97
570,572,Real Monarchs SLC,United Soccer League,0.75,2.15,17.9
571,620,Bolton,English League Two,0.66,2.03,17.43
572,614,Oldham Athletic,English League Two,0.71,2.13,17.39
573,574,Central Coast Mariners,Australian A-League,0.78,2.26,17.34
574,576,Golden Arrows,South African ABSA Premier League,0.43,1.63,17.14
575,573,Accrington Stanley,English League One,0.63,2.01,17.11
576,570,Falkenbergs FF,Swedish Allsvenskan,0.7,2.13,17.01
577,593,San Diego Loyal SC,United Soccer League,0.54,1.85,16.94
578,578,IK Start,Norwegian Tippeligaen,0.63,2.03,16.93
579,580,North Carolina FC,United Soccer League,0.71,2.19,16.56
580,560,Plymouth Argyle,English League One,0.59,2.0,16.41
581,588,Colchester United,English League Two,0.56,1.96,16.23
